factor,coefficient,t_stat,p_value
Alpha (annualised),0.012073283369144103,0.9735329417279256,0.3302884962464341
MKT_RF,0.24918332809604227,13.007494606852338,1.1091933628816148e-38
SMB,-0.15013692082727073,-7.1402964042684545,9.312987772687292e-13
HML,0.002519250897008424,0.1799001488600642,0.8572309583346277
MOM,0.29744348256513126,21.52888049835668,8.352694160753927e-103
R-squared,0.5616552340098773,,
